day,mode,winner_sat_id,max_temp_cpu,avg_temp_cpu,total_tasks_completed,total_overheat_incidents
25.50,egoistic,5,73.77,34.13,256,19
25.60,egoistic,6,57.67,32.52,257,19
25.70,egoistic,7,86.66,34.26,258,20
25.80,egoistic,8,79.90,34.72,259,20
25.90,egoistic,9,65.27,33.68,260,20
26.00,egoistic,0,67.99,33.15,261,20
26.10,egoistic,1,66.05,32.58,262,20
26.20,egoistic,2,70.60,32.65,263,20
26.30,egoistic,3,65.07,32.26,264,20
26.40,egoistic,4,82.15,33.61,265,20
26.50,egoistic,5,81.23,34.37,266,20
26.60,egoistic,6,59.84,32.55,267,20
26.70,egoistic,7,85.88,34.21,268,21
26.80,egoistic,8,74.96,34.24,269,21
26.90,egoistic,9,81.44,34.88,270,21
27.00,egoistic,0,77.37,34.93,271,21
27.10,egoistic,1,68.23,33.98,272,21
27.20,egoistic,2,78.26,34.32,273,21
27.30,egoistic,3,86.04,35.45,274,22
27.40,egoistic,4,63.03,33.76,275,22
27.50,egoistic,5,80.76,34.42,276,22
